date,P,T,E,Q,Qmm
01/01/1998,0.0,-6.71,0.55,6.6,0.47
02/01/1998,0.0,-6.65,0.51,6.6,0.47
03/01/1998,0.0,-5.2,0.54,5.4,0.38
04/01/1998,0.2,-3.43,0.7,6.0,0.42
05/01/1998,0.34,-3.57,0.57,5.0,0.35
06/01/1998,0.01,-2.7,0.48,4.6,0.33
07/01/1998,1.67,-0.96,0.58,4.6,0.33
08/01/1998,0.11,-3.82,0.78,5.0,0.35
09/01/1998,0.0,-5.14,0.73,5.0,0.35
10/01/1998,3.31,-4.77,0.52,5.0,0.35
11/01/1998,2.48,-8.16,0.77,5.0,0.35
12/01/1998,0.83,-7.66,0.71,5.0,0.35
13/01/1998,0.14,-2.44,0.71,5.0,0.35
14/01/1998,0.0,-1.13,0.44,5.0,0.35
15/01/1998,0.0,-0.84,0.5,5.0,0.35
16/01/1998,0.05,-1.6,0.55,5.4,0.38
17/01/1998,0.28,0.01,0.43,5.4,0.38
18/01/1998,0.0,-1.42,0.71,5.4,0.38
19/01/1998,1.55,-1.75,0.82,5.4,0.38
20/01/1998,3.19,-0.62,0.67,5.4,0.38
21/01/1998,1.67,0.75,0.67,5.4,0.38
22/01/1998,1.13,2.7,0.63,5.4,0.38
23/01/1998,16.99,0.77,0.47,6.6,0.47
24/01/1998,14.35,-0.23,0.26,7.8,0.55
25/01/1998,2.62,-1.52,0.63,7.8,0.55
26/01/1998,0.22,-3.8,0.76,7.4,0.52
27/01/1998,0.66,-3.72,0.76,7.4,0.52
28/01/1998,4.21,-0.11,0.74,7.4,0.52
29/01/1998,11.15,-1.92,0.48,8.8,0.62
30/01/1998,0.19,-5.88,0.76,8.8,0.62
31/01/1998,0.0,-9.07,0.57,7.8,0.55
01/02/1998,0.0,-7.61,0.59,7.4,0.52
02/02/1998,0.73,-3.88,0.78,7.4,0.52
03/02/1998,0.5,-0.47,0.62,7.4,0.52
04/02/1998,0.07,1.16,0.78,7.4,0.52
05/02/1998,0.27,2.45,0.8,8.2,0.58
06/02/1998,10.18,3.25,0.51,11.3,0.8
07/02/1998,5.65,0.55,0.56,18.5,1.31
08/02/1998,0.19,-3.11,1.15,16.0,1.13
09/02/1998,0.0,-4.1,1.12,13.0,0.92
10/02/1998,0.0,-4.18,1.15,11.3,0.8
11/02/1998,0.11,-4.76,1.26,10.5,0.74
12/02/1998,0.0,-3.76,1.26,9.4,0.67
13/02/1998,2.9,0.18,0.78,9.4,0.67
14/02/1998,5.67,0.37,1.15,9.95,0.7
15/02/1998,0.22,-2.78,1.36,8.8,0.62
16/02/1998,0.2,0.81,1.1,8.8,0.62
17/02/1998,0.11,1.75,1.29,8.8,0.62
18/02/1998,6.18,-0.13,0.77,8.8,0.62
19/02/1998,0.0,-4.88,1.44,8.2,0.58
20/02/1998,0.0,-2.24,1.38,7.8,0.55
21/02/1998,0.0,1.45,1.39,7.8,0.55
22/02/1998,0.0,3.72,1.43,7.8,0.55
23/02/1998,0.0,3.71,1.58,7.8,0.55
24/02/1998,0.0,4.13,1.6,9.4,0.67
25/02/1998,0.08,4.05,1.53,9.95,0.7
26/02/1998,0.47,3.11,1.64,10.5,0.74
27/02/1998,0.01,1.49,1.76,9.95,0.7
28/02/1998,0.0,0.66,1.74,9.95,0.7
01/03/1998,0.0,2.3,1.86,9.95,0.7
02/03/1998,0.03,4.24,1.98,9.95,0.7
03/03/1998,0.16,3.21,1.96,9.95,0.7
04/03/1998,0.0,2.82,2.07,9.95,0.7
05/03/1998,0.0,5.41,2.12,9.95,0.7
06/03/1998,0.03,6.55,2.21,9.95,0.7
07/03/1998,1.88,2.81,1.16,10.5,0.74
08/03/1998,0.0,2.39,2.25,10.5,0.74
09/03/1998,0.58,4.64,2.16,9.95,0.7
10/03/1998,2.02,5.27,1.16,9.95,0.7
11/03/1998,2.97,7.26,2.42,10.5,0.74
12/03/1998,5.33,1.92,1.58,12.5,0.88
13/03/1998,1.16,2.88,2.08,12.0,0.85
14/03/1998,1.04,2.02,1.87,11.3,0.8
15/03/1998,3.02,1.82,1.92,10.5,0.74
16/03/1998,12.85,1.5,1.15,12.5,0.88
17/03/1998,12.27,-0.34,1.48,14.5,1.03
18/03/1998,9.85,-1.89,1.51,18.5,1.31
19/03/1998,2.11,-2.84,1.56,17.0,1.2
20/03/1998,0.52,-3.47,1.57,16.5,1.17
21/03/1998,9.29,-1.36,1.07,16.5,1.17
22/03/1998,2.25,0.66,1.79,17.0,1.2
23/03/1998,9.4,-1.12,1.43,18.5,1.31
24/03/1998,0.84,-5.93,1.58,17.8,1.26
25/03/1998,0.08,-5.93,1.83,16.5,1.17
26/03/1998,0.38,1.52,2.15,16.0,1.13
27/03/1998,5.31,2.66,1.63,22.0,1.56
28/03/1998,0.4,2.93,2.06,24.0,1.7
29/03/1998,5.68,1.66,1.21,24.5,1.73
30/03/1998,12.66,0.93,0.88,27.0,1.91
31/03/1998,0.08,0.98,1.92,26.0,1.84
01/04/1998,0.04,2.76,2.06,25.0,1.77
02/04/1998,5.91,3.63,1.52,26.0,1.84
03/04/1998,4.72,3.31,1.97,29.0,2.05
04/04/1998,1.48,4.5,1.98,31.0,2.19
05/04/1998,0.0,6.6,2.61,31.0,2.19
06/04/1998,0.0,9.15,2.98,33.5,2.37
07/04/1998,0.04,10.23,3.09,39.0,2.76
08/04/1998,0.01,11.8,3.49,41.0,2.9
09/04/1998,0.02,13.86,3.54,42.0,2.97
10/04/1998,0.0,15.21,3.84,44.0,3.11
11/04/1998,0.0,16.92,4.12,47.0,3.33
12/04/1998,0.0,16.54,4.39,52.4,3.71
13/04/1998,0.02,17.28,4.69,47.0,3.33
14/04/1998,0.06,17.68,4.8,45.0,3.19
15/04/1998,0.3,15.43,2.41,42.0,2.97
16/04/1998,7.47,13.03,2.75,38.0,2.69
17/04/1998,9.73,10.24,2.38,38.0,2.69
18/04/1998,1.76,11.64,3.45,37.5,2.65
19/04/1998,6.73,11.21,3.45,33.5,2.37
20/04/1998,4.28,6.99,3.33,33.0,2.34
21/04/1998,8.64,4.65,2.07,29.0,2.05
22/04/1998,2.66,4.77,2.8,26.0,1.84
23/04/1998,3.72,4.49,2.58,24.5,1.73
24/04/1998,0.0,6.9,3.56,22.0,1.56
25/04/1998,4.46,9.19,3.4,21.0,1.49
26/04/1998,14.07,8.36,1.94,29.0,2.05
27/04/1998,4.74,7.0,2.44,53.0,3.75
28/04/1998,2.56,8.65,2.84,42.0,2.97
29/04/1998,1.6,10.48,3.16,36.0,2.55
30/04/1998,1.89,11.59,3.27,32.0,2.27
01/05/1998,0.02,12.92,4.57,30.5,2.16
02/05/1998,0.02,14.13,4.62,30.0,2.12
03/05/1998,0.0,14.66,5.08,30.0,2.12
04/05/1998,0.0,16.33,5.14,30.0,2.12
05/05/1998,5.17,16.23,3.41,30.0,2.12
06/05/1998,0.11,16.46,5.23,30.5,2.16
07/05/1998,1.44,15.34,5.12,33.0,2.34
08/05/1998,2.09,16.37,4.94,30.5,2.16
09/05/1998,7.08,16.53,3.19,30.0,2.12
10/05/1998,8.77,15.38,3.4,38.0,2.69
11/05/1998,5.66,13.0,2.47,39.0,2.76
12/05/1998,3.95,9.86,3.05,39.5,2.8
13/05/1998,10.79,10.32,2.03,40.0,2.83
14/05/1998,7.96,10.57,1.7,41.0,2.9
15/05/1998,9.06,11.27,2.0,43.0,3.04
16/05/1998,1.78,13.12,3.84,39.5,2.8
17/05/1998,1.27,14.03,3.86,37.0,2.62
18/05/1998,4.92,13.53,4.11,35.0,2.48
19/05/1998,4.41,12.44,3.7,33.0,2.34
20/05/1998,6.69,9.14,3.31,32.0,2.27
21/05/1998,3.02,9.98,3.27,30.5,2.16
22/05/1998,2.43,11.84,3.92,30.0,2.12
23/05/1998,4.91,11.6,3.72,34.0,2.41
24/05/1998,2.19,13.03,4.06,35.0,2.48
25/05/1998,0.33,14.83,4.8,31.0,2.19
26/05/1998,0.08,17.01,4.97,26.0,1.84
27/05/1998,2.94,16.4,5.54,25.0,1.77
28/05/1998,10.33,14.61,4.36,29.0,2.05
29/05/1998,0.19,15.29,4.58,28.0,1.98
30/05/1998,2.05,15.83,5.11,26.0,1.84
31/05/1998,5.46,15.44,4.57,25.0,1.77
01/06/1998,1.22,15.32,4.58,26.0,1.84
02/06/1998,1.71,14.95,4.37,26.0,1.84
03/06/1998,2.58,14.36,4.46,25.0,1.77
04/06/1998,3.83,13.7,4.04,26.0,1.84
05/06/1998,3.9,14.19,4.3,26.0,1.84
06/06/1998,0.82,14.93,4.18,24.0,1.7
07/06/1998,3.21,15.64,4.39,22.0,1.56
08/06/1998,9.06,15.96,4.11,23.0,1.63
09/06/1998,6.1,16.88,4.13,24.0,1.7
10/06/1998,1.51,18.0,4.71,25.0,1.77
11/06/1998,1.61,19.14,5.53,25.0,1.77
12/06/1998,0.61,19.21,5.04,24.0,1.7
13/06/1998,0.0,20.81,6.02,23.0,1.63
14/06/1998,0.47,21.02,6.08,23.0,1.63
15/06/1998,0.11,20.92,5.87,23.0,1.63
16/06/1998,0.0,22.05,6.54,21.5,1.52
17/06/1998,0.86,22.61,6.12,21.5,1.52
18/06/1998,0.95,22.76,6.44,22.0,1.56
19/06/1998,0.81,22.36,6.3,21.0,1.49
20/06/1998,0.19,21.62,6.56,20.0,1.42
21/06/1998,1.83,18.94,5.51,19.0,1.35
22/06/1998,9.21,16.34,4.1,19.0,1.35
23/06/1998,3.46,16.67,5.35,18.3,1.3
24/06/1998,0.0,18.89,6.03,18.3,1.3
25/06/1998,0.0,20.86,6.31,18.3,1.3
26/06/1998,0.0,21.64,6.51,17.5,1.24
27/06/1998,1.58,19.59,5.7,16.8,1.19
28/06/1998,0.0,19.31,6.24,16.8,1.19
29/06/1998,0.0,20.25,6.67,16.8,1.19
30/06/1998,0.0,21.77,6.93,16.8,1.19
01/07/1998,0.0,21.71,6.95,16.8,1.19
02/07/1998,0.0,21.96,7.03,14.3,1.01
03/07/1998,0.0,23.58,7.46,12.5,0.88
