date,P,T,E,Q,Qmm
01/01/1998,0.0,3.4,1.24,1.01,0.13
02/01/1998,0.0,3.3,1.04,1.01,0.13
03/01/1998,0.0,5.1,0.63,1.01,0.13
04/01/1998,0.0,5.7,1.22,1.01,0.13
05/01/1998,0.0,7.1,0.95,1.01,0.13
06/01/1998,0.0,7.7,0.52,6.0,0.77
07/01/1998,0.3,8.0,0.82,8.58,1.1
08/01/1998,0.0,4.5,1.13,2.55,0.33
09/01/1998,0.0,4.3,1.5,1.6,0.21
10/01/1998,0.1,4.8,1.3,1.48,0.19
11/01/1998,0.2,1.8,1.39,1.79,0.23
12/01/1998,0.0,1.8,1.36,4.49,0.58
13/01/1998,0.0,5.1,1.28,2.17,0.28
14/01/1998,0.0,6.5,0.92,1.48,0.19
15/01/1998,0.0,7.2,1.03,1.25,0.16
16/01/1998,0.0,7.1,0.7,1.25,0.16
17/01/1998,0.0,7.4,0.92,14.4,1.85
18/01/1998,0.1,7.7,1.28,18.0,2.32
19/01/1998,1.3,7.0,0.92,6.37,0.82
20/01/1998,7.1,6.6,0.73,6.37,0.82
21/01/1998,11.9,9.4,0.72,8.21,1.06
22/01/1998,22.5,8.3,0.55,8.21,1.06
23/01/1998,2.6,5.8,0.88,7.84,1.01
24/01/1998,0.6,6.1,1.16,7.84,1.01
25/01/1998,0.1,4.6,1.28,7.84,1.01
26/01/1998,0.1,4.6,1.27,7.84,1.01
27/01/1998,14.6,3.9,0.21,7.84,1.01
28/01/1998,4.0,4.7,0.84,7.84,1.01
29/01/1998,0.1,3.0,1.41,7.84,1.01
30/01/1998,0.1,3.6,1.43,7.84,1.01
31/01/1998,0.0,1.9,1.39,7.84,1.01
01/02/1998,8.2,4.1,0.78,7.84,1.01
02/02/1998,45.4,7.9,0.23,7.84,1.01
03/02/1998,3.5,8.9,0.9,7.84,1.01
04/02/1998,0.3,11.3,1.48,7.84,1.01
05/02/1998,7.5,11.5,0.66,7.47,0.96
06/02/1998,8.0,9.7,1.12,7.1,0.91
07/02/1998,0.3,6.2,1.33,7.47,0.96
08/02/1998,0.0,4.0,1.95,7.84,1.01
09/02/1998,0.0,5.5,1.86,7.84,1.01
10/02/1998,0.0,5.3,2.09,7.84,1.01
11/02/1998,0.0,4.6,2.08,7.84,1.01
12/02/1998,0.0,6.6,2.08,7.84,1.01
13/02/1998,0.0,9.4,2.26,7.84,1.01
14/02/1998,0.0,9.2,2.2,7.84,1.01
15/02/1998,0.0,5.6,2.31,7.84,1.01
16/02/1998,0.0,8.1,2.16,7.84,1.01
17/02/1998,0.0,8.7,1.93,7.84,1.01
18/02/1998,1.8,6.2,1.79,7.84,1.01
19/02/1998,0.0,3.7,2.34,7.84,1.01
20/02/1998,0.0,6.1,2.27,7.84,1.01
21/02/1998,0.0,9.3,2.45,7.84,1.01
22/02/1998,0.0,10.6,2.55,7.84,1.01
23/02/1998,0.1,10.3,2.31,7.84,1.01
24/02/1998,0.0,11.1,2.6,7.84,1.01
25/02/1998,0.0,11.1,2.7,4.24,0.55
26/02/1998,0.0,9.1,2.67,1.6,0.21
27/02/1998,0.0,9.0,2.61,1.6,0.21
28/02/1998,0.0,8.2,2.85,1.6,0.21
01/03/1998,0.0,8.8,2.68,1.48,0.19
02/03/1998,0.0,9.9,2.83,1.48,0.19
03/03/1998,0.0,9.9,2.82,1.48,0.19
04/03/1998,0.0,10.0,2.97,1.48,0.19
05/03/1998,0.0,10.7,2.96,1.48,0.19
06/03/1998,0.2,9.7,2.61,1.36,0.18
07/03/1998,0.0,9.5,2.9,1.36,0.18
08/03/1998,0.0,9.7,3.26,1.36,0.18
09/03/1998,1.4,10.9,2.25,1.36,0.18
10/03/1998,1.8,12.8,2.38,1.36,0.18
11/03/1998,30.1,8.3,0.49,5.25,0.68
12/03/1998,1.1,6.1,2.16,7.84,1.01
13/03/1998,0.0,6.0,2.8,3.11,0.4
14/03/1998,0.0,7.6,2.95,2.73,0.35
15/03/1998,10.1,5.4,1.28,2.55,0.33
16/03/1998,2.6,3.9,2.51,3.49,0.45
17/03/1998,1.3,1.6,1.43,2.92,0.38
18/03/1998,0.7,1.5,1.99,2.55,0.33
19/03/1998,0.0,2.9,2.12,2.55,0.33
20/03/1998,0.2,5.1,2.56,2.55,0.33
21/03/1998,10.4,3.9,1.33,2.55,0.33
22/03/1998,16.6,1.3,0.53,4.49,0.58
23/03/1998,1.1,1.0,2.33,3.99,0.51
24/03/1998,0.0,2.4,2.91,2.92,0.38
25/03/1998,1.5,3.8,2.33,2.55,0.33
26/03/1998,2.8,8.2,2.16,3.3,0.42
27/03/1998,7.6,8.6,2.02,9.31,1.2
28/03/1998,6.4,8.9,2.47,10.1,1.3
29/03/1998,6.4,6.5,1.81,8.94,1.15
30/03/1998,0.3,5.9,2.42,6.37,0.82
31/03/1998,0.6,9.2,3.2,5.5,0.71
01/04/1998,4.2,9.8,2.38,5.5,0.71
02/04/1998,3.6,8.7,2.03,7.1,0.91
03/04/1998,0.0,9.8,3.19,5.75,0.74
04/04/1998,0.0,12.9,4.04,5.25,0.68
05/04/1998,0.0,14.3,4.36,5.25,0.68
06/04/1998,0.0,14.1,4.29,5.25,0.68
07/04/1998,0.0,14.5,4.66,5.0,0.64
08/04/1998,0.0,16.8,4.89,4.75,0.61
09/04/1998,0.0,19.3,4.88,4.75,0.61
10/04/1998,0.0,19.9,5.73,4.75,0.61
11/04/1998,0.0,21.3,5.8,4.24,0.55
12/04/1998,0.0,22.0,6.64,3.74,0.48
