date,P,T,E,Q,Qmm
01/01/1998,"0,000",3400,1241,1010,130.06
02/01/1998,"0,000",3300,1044,1010,130.06
03/01/1998,"0,000",5100,"0,627",1010,130.06
04/01/1998,"0,000",5700,1220,1010,130.06
05/01/1998,"0,000",7100,"0,950",1010,130.06
06/01/1998,"0,000",7700,"0,515",6000,772.66
07/01/1998,"0,300",8000,"0,817",8580,1104.9
08/01/1998,"0,000",4500,1131,2550,328.38
09/01/1998,"0,000",4300,1497,1600,206.04
10/01/1998,"0,100",4800,1302,1480,190.59
11/01/1998,"0,200",1800,1388,1790,230.51
12/01/1998,"0,000",1800,1359,4490,578.21
13/01/1998,"0,000",5100,1277,2170,279.44
14/01/1998,"0,000",6500,"0,918",1480,190.59
15/01/1998,"0,000",7200,1030,1250,160.97
16/01/1998,"0,000",7100,"0,699",1250,160.97
17/01/1998,"0,000",7400,"0,922",14400,1854.38
18/01/1998,"0,100",7700,1277,18000,2317.98
19/01/1998,1300,7000,"0,915",6370,820.31
20/01/1998,7100,6600,"0,728",6370,820.31
21/01/1998,11900,9400,"0,716",8210,1057.25
22/01/1998,22500,8300,"0,552",8210,1057.25
23/01/1998,2600,5800,"0,882",7840,1009.61
24/01/1998,"0,600",6100,1163,7840,1009.61
25/01/1998,"0,100",4600,1276,7840,1009.61
26/01/1998,"0,100",4600,1268,7840,1009.61
27/01/1998,14600,3900,"0,211",7840,1009.61
28/01/1998,4000,4700,"0,837",7840,1009.61
29/01/1998,"0,100",3000,1407,7840,1009.61
30/01/1998,"0,100",3600,1430,7840,1009.61
31/01/1998,"0,000",1900,1392,7840,1009.61
01/02/1998,8200,4100,"0,776",7840,1009.61
02/02/1998,45400,7900,"0,231",7840,1009.61
03/02/1998,3500,8900,"0,896",7840,1009.61
04/02/1998,"0,300",11300,1478,7840,1009.61
05/02/1998,7500,11500,"0,665",7470,961.96
06/02/1998,8000,9700,1123,7100,914.31
07/02/1998,"0,300",6200,1330,7470,961.96
08/02/1998,"0,000",4000,1949,7840,1009.61
09/02/1998,"0,000",5500,1864,7840,1009.61
10/02/1998,"0,000",5300,2087,7840,1009.61
11/02/1998,"0,000",4600,2080,7840,1009.61
12/02/1998,"0,000",6600,2084,7840,1009.61
13/02/1998,"0,000",9400,2257,7840,1009.61
14/02/1998,"0,000",9200,2200,7840,1009.61
15/02/1998,"0,000",5600,2313,7840,1009.61
16/02/1998,"0,000",8100,2162,7840,1009.61
17/02/1998,"0,000",8700,1931,7840,1009.61
18/02/1998,1800,6200,1788,7840,1009.61
19/02/1998,"0,000",3700,2338,7840,1009.61
20/02/1998,"0,000",6100,2271,7840,1009.61
21/02/1998,"0,000",9300,2449,7840,1009.61
22/02/1998,"0,000",10600,2553,7840,1009.61
23/02/1998,"0,100",10300,2314,7840,1009.61
24/02/1998,"0,000",11100,2598,7840,1009.61
25/02/1998,"0,000",11100,2696,4240,546.01
26/02/1998,"0,000",9100,2667,1600,206.04
27/02/1998,"0,000",9000,2614,1600,206.04
28/02/1998,"0,000",8200,2846,1600,206.04
01/03/1998,"0,000",8800,2676,1480,190.59
02/03/1998,"0,000",9900,2828,1480,190.59
03/03/1998,"0,000",9900,2825,1480,190.59
04/03/1998,"0,000",10000,2974,1480,190.59
05/03/1998,"0,000",10700,2961,1480,190.59
06/03/1998,"0,200",9700,2607,1360,175.14
07/03/1998,"0,000",9500,2900,1360,175.14
08/03/1998,"0,000",9700,3257,1360,175.14
09/03/1998,1400,10900,2254,1360,175.14
10/03/1998,1800,12800,2375,1360,175.14
11/03/1998,30100,8300,"0,493",5250,676.08
12/03/1998,1100,6100,2163,7840,1009.61
13/03/1998,"0,000",6000,2797,3110,400.49
14/03/1998,"0,000",7600,2950,2730,351.56
15/03/1998,10100,5400,1279,2550,328.38
16/03/1998,2600,3900,2514,3490,449.43
17/03/1998,1300,1600,1429,2920,376.03
18/03/1998,"0,700",1500,1992,2550,328.38
19/03/1998,"0,000",2900,2116,2550,328.38
20/03/1998,"0,200",5100,2563,2550,328.38
21/03/1998,10400,3900,1332,2550,328.38
22/03/1998,16600,1300,"0,529",4490,578.21
23/03/1998,1100,1000,2333,3990,513.82
24/03/1998,"0,000",2400,2906,2920,376.03
25/03/1998,1500,3800,2325,2550,328.38
26/03/1998,2800,8200,2165,3300,424.96
27/03/1998,7600,8600,2017,9310,1198.91
28/03/1998,6400,8900,2470,10100,1300.64
29/03/1998,6400,6500,1813,8940,1151.26
30/03/1998,"0,300",5900,2424,6370,820.31
31/03/1998,"0,600",9200,3202,5500,708.27
01/04/1998,4200,9800,2379,5500,708.27
