date,P,T,E,Qmm
1983-01-01,12.7075892,-8.868236017,0.24939099,0.135617464
1983-01-02,1.758671743,-13.12805691,0.0,0.135617464
1983-01-03,0.054822676,-16.77969551,0.0,0.135617464
1983-01-04,0.060468353,-18.94742393,0.0,0.135617464
1983-01-05,0.033228658,-17.01715875,0.0,0.135617464
1983-01-06,0.028053671,-17.48834734,0.0,0.148490644
1983-01-07,0.001152977,-15.28627191,0.0,0.148490644
1983-01-08,6.78003e-05,-15.50074301,0.0,0.148490644
1983-01-09,0.0,-13.80164924,0.0,0.148490644
1983-01-10,0.019020587,-13.30400457,0.0,0.148490644
1983-01-11,0.525411035,-12.06165242,0.0,0.148490644
1983-01-12,0.496238838,-11.07857671,0.016140625,0.148490644
1983-01-13,0.174825822,-13.69338856,0.0,0.148490644
1983-01-14,0.015220419,-12.85199418,0.0,0.148490644
1983-01-15,0.000271201,-12.94127212,0.0,0.148490644
1983-01-16,1.593134736,-11.3048892,0.0,0.148490644
1983-01-17,5.352737916,-5.125053942,0.384144306,0.148490644
1983-01-18,3.462014341,-4.600505769,0.425513327,0.148490644
1983-01-19,0.142538548,-5.750933504,0.596892893,0.148490644
1983-01-20,0.044837408,-9.775154257,0.253919065,0.148490644
1983-01-21,1.507376876,-5.878419089,0.516589701,0.148490644
1983-01-22,1.077680117,-3.831072831,0.4444043039999999,0.148490644
1983-01-23,0.961692818,-6.031544638,0.448630929,0.148490644
1983-01-24,2.481939447,-9.687121105,0.234449983,0.148490644
1983-01-25,0.811371392,-15.09269819,0.0,0.148490644
1983-01-26,0.063877366,-17.38086014,0.0,0.148490644
1983-01-27,0.016155839,-14.97923198,0.0,0.148490644
1983-01-28,0.010859221,-15.30861607,0.0,0.150286902
1983-01-29,0.821021396,-11.97744179,0.0,0.150286902
1983-01-30,0.239037721,-8.880188632,0.388127506,0.150286902
1983-01-31,0.156714022,-7.762690401,0.559480786,0.150286902
1983-02-01,0.320889987,-5.322035408,0.610276818,0.150286902
1983-02-02,0.051908195,-6.150221443,0.643038392,0.150286902
1983-02-03,0.0023067,-7.904083729,0.591204166,0.157471933
1983-02-04,0.575384311,-7.879193854,0.607337713,0.157471933
1983-02-05,6.512298131,-6.141323137,0.510013342,0.157471933
1983-02-06,1.391044456,-6.319329977,0.527643919,0.157471933
1983-02-07,0.140536763,-5.361278665,0.638951182,0.157471933
1983-02-08,0.016365014,-6.179420924,0.713856697,0.164656965
1983-02-09,0.0,-6.79387002,0.696156025,0.164656965
1983-02-10,0.0,-7.105064034,0.700984478,0.164656965
1983-02-11,0.0,-5.983599186,0.784888685,0.173338877
1983-02-12,0.0,-2.825750935,1.060865998,0.173338877
1983-02-13,0.257566014,-2.505358386,0.770846009,0.173338877
1983-02-14,3.425863612,-4.830102611,0.707509696,0.18202079
1983-02-15,0.011131167,-8.214508939,0.607371509,0.18202079
1983-02-16,0.0,-8.772726226,0.579038918,0.18202079
1983-02-17,0.040976703,-8.933841038,0.577742815,0.190702703
1983-02-18,8.661794257,-5.576394272,0.744562805,0.194295218
1983-02-19,13.02476156,-6.096135783,0.561394691,0.194295218
1983-02-20,4.300939494,-9.05757978,0.34531951,0.194295218
1983-02-21,3.59649775,-11.87666693,0.0,0.208964657
1983-02-22,0.01935605,-14.65709939,0.0,0.208964657
1983-02-23,0.15103016,-12.22414236,0.0,0.208964657
1983-02-24,4.168835676,-7.736579823,0.656454325,0.217945946
1983-02-25,9.088841057,-5.438238525,0.659405291,0.217945946
1983-02-26,4.871574283,-7.713878632,0.600432038,0.217945946
1983-02-27,0.245778264,-9.664068103,0.289794028,0.230519751
1983-02-28,0.002237968,-10.0940877,0.268547356,0.243392931
