date,P,T,E,Qmm
01/01/1983,12.7,-8.9,0.5,0.14
02/01/1983,1.8,-13.1,0.5,0.14
03/01/1983,0.1,-16.8,0.4,0.14
04/01/1983,0.1,-18.9,0.4,0.14
05/01/1983,0.0,-17.0,0.5,0.14
06/01/1983,0.0,-17.5,0.5,0.15
07/01/1983,0.0,-15.3,0.5,0.15
08/01/1983,0.0,-15.5,0.5,0.15
09/01/1983,0.0,-13.8,0.5,0.15
10/01/1983,0.0,-13.3,0.5,0.15
11/01/1983,0.5,-12.1,0.5,0.15
12/01/1983,0.5,-11.1,0.6,0.15
13/01/1983,0.2,-13.7,0.6,0.15
14/01/1983,0.0,-12.8,0.6,0.15
15/01/1983,0.0,-12.9,0.6,0.15
16/01/1983,1.6,-11.3,0.7,0.15
17/01/1983,5.4,-5.1,0.7,0.15
18/01/1983,3.55,-4.6,0.7,0.15
19/01/1983,0.1,-5.8,0.8,0.15
20/01/1983,0.0,-9.8,0.7,0.15
21/01/1983,1.5,-5.9,0.7,0.15
22/01/1983,1.15,-3.8,0.7,0.15
23/01/1983,1.0,-6.0,0.7,0.15
24/01/1983,2.5,-9.7,0.7,0.15
25/01/1983,0.8,-15.1,0.5,0.15
26/01/1983,0.1,-17.4,0.5,0.15
27/01/1983,0.0,-15.0,0.6,0.15
28/01/1983,0.0,-15.3,0.7,0.15
29/01/1983,0.8,-12.0,0.7,0.15
30/01/1983,0.2,-8.9,0.8,0.15
31/01/1983,0.2,-7.8,0.8,0.15
01/02/1983,0.31,-5.3,0.9,0.15
02/02/1983,0.1,-6.2,1.0,0.15
03/02/1983,0.0,-7.9,0.9,0.16
04/02/1983,0.6,-7.9,0.9,0.16
05/02/1983,6.5,-6.1,0.8,0.16
06/02/1983,1.4,-6.3,0.8,0.16
07/02/1983,0.1,-5.4,1.0,0.16
08/02/1983,0.0,-6.2,1.0,0.16
09/02/1983,0.0,-6.8,1.0,0.16
10/02/1983,0.0,-7.1,1.1,0.16
11/02/1983,0.0,-6.0,1.1,0.17
12/02/1983,0.0,-2.8,1.2,0.17
13/02/1983,0.32,-2.5,1.1,0.17
14/02/1983,3.44,-4.8,1.1,0.18
15/02/1983,0.0,-8.2,1.1,0.18
16/02/1983,0.0,-8.8,1.0,0.18
17/02/1983,0.0,-8.9,0.9,0.19
18/02/1983,8.76,-5.6,0.9,0.19
19/02/1983,13.0,-6.1,0.7,0.19
20/02/1983,4.3,-9.1,0.7,0.19
21/02/1983,3.6,-11.9,0.8,0.21
22/02/1983,0.0,-14.7,0.8,0.21
23/02/1983,0.2,-12.2,0.9,0.21
24/02/1983,4.2,-7.7,0.9,0.22
25/02/1983,9.15,-5.4,0.9,0.22
26/02/1983,4.9,-7.7,0.9,0.22
27/02/1983,0.2,-9.7,1.0,0.23
28/02/1983,0.0,-10.1,1.1,0.24
01/03/1983,0.5,-8.8,1.0,0.26
02/03/1983,0.92,-5.4,1.0,0.26
03/03/1983,3.65,-4.1,1.1,0.27
04/03/1983,17.65,-4.2,1.1,0.34
05/03/1983,7.8,-10.9,0.9,0.3
06/03/1983,1.1,-13.8,1.0,0.22
07/03/1983,0.0,-12.8,1.2,0.21
08/03/1983,3.5,-8.6,1.3,0.22
09/03/1983,6.2,-6.2,1.4,0.19
10/03/1983,1.37,-4.3,1.6,0.2
11/03/1983,0.22,-2.8,1.7,0.23
12/03/1983,1.14,-1.6,1.8,0.28
13/03/1983,9.99,-0.3,1.3,0.34
14/03/1983,11.9,0.8,1.3,0.3
15/03/1983,2.08,0.3,1.3,0.31
16/03/1983,1.61,-0.7,1.3,0.31
17/03/1983,1.08,-0.8,1.5,0.33
18/03/1983,1.34,-0.7,1.7,0.31
19/03/1983,0.33,-1.4,1.9,0.31
20/03/1983,1.96,0.2,1.7,0.33
21/03/1983,11.99,-0.2,1.5,0.33
22/03/1983,4.6,-0.2,1.6,0.33
23/03/1983,1.03,0.7,1.9,0.34
24/03/1983,0.99,0.8,2.0,0.36
25/03/1983,1.17,1.6,2.2,0.37
26/03/1983,1.18,2.0,2.4,0.41
27/03/1983,1.26,2.5,2.4,0.48
28/03/1983,2.89,4.2,2.3,0.58
29/03/1983,2.94,3.8,2.4,0.6
30/03/1983,0.9,2.6,2.5,0.62
31/03/1983,0.58,1.7,2.6,0.58
01/04/1983,0.47,1.6,2.6,0.53
02/04/1983,0.62,1.4,2.1,0.5
03/04/1983,2.65,2.8,2.2,0.46
04/04/1983,2.9,3.2,2.5,0.5
05/04/1983,0.48,2.7,2.4,0.51
06/04/1983,0.94,3.6,2.4,0.51
07/04/1983,2.16,2.8,2.2,0.5
08/04/1983,10.38,3.0,2.2,0.51
09/04/1983,10.51,3.5,2.3,0.64
10/04/1983,4.19,2.8,2.4,0.66
11/04/1983,5.68,3.5,2.5,0.64
12/04/1983,3.46,4.7,2.7,0.6
13/04/1983,3.47,6.2,3.0,0.58
14/04/1983,4.1,7.1,3.1,0.58
15/04/1983,3.28,6.6,2.8,0.58
16/04/1983,8.17,5.8,2.7,0.58
17/04/1983,17.94,3.0,2.2,0.6
18/04/1983,5.77,0.5,2.1,0.62
19/04/1983,9.09,0.6,2.2,0.57
20/04/1983,5.41,0.2,2.2,0.53
21/04/1983,7.95,-0.2,2.3,0.51
22/04/1983,3.2,1.0,2.5,0.53
23/04/1983,4.19,1.5,2.5,0.53
24/04/1983,1.75,4.1,2.9,0.51
25/04/1983,2.21,5.4,3.0,0.5
26/04/1983,7.78,4.9,3.0,0.48
27/04/1983,3.44,4.2,3.1,0.51
28/04/1983,3.94,6.9,3.5,0.51
29/04/1983,8.08,9.6,3.8,0.5
30/04/1983,10.96,9.1,3.7,0.51
01/05/1983,13.05,6.5,3.4,0.53
02/05/1983,6.59,9.2,3.7,0.57
03/05/1983,27.74,7.7,3.3,0.7
04/05/1983,17.33,5.7,2.9,1.41
05/05/1983,11.13,4.2,3.2,1.2
06/05/1983,1.9,5.3,3.3,0.9
07/05/1983,6.54,7.4,3.3,0.47
08/05/1983,17.74,5.9,3.0,0.5
09/05/1983,2.47,5.2,3.3,0.56
10/05/1983,3.43,7.0,3.2,0.48
11/05/1983,11.12,7.3,3.2,0.45
12/05/1983,11.28,7.2,3.5,0.5
13/05/1983,7.04,7.2,3.6,0.54
14/05/1983,21.47,7.9,3.7,0.54
15/05/1983,37.52,8.4,3.3,0.91
16/05/1983,29.99,9.4,3.2,1.63
17/05/1983,17.86,9.6,3.6,2.41
18/05/1983,13.2,10.3,3.7,2.27
19/05/1983,12.93,10.6,3.6,2.04
20/05/1983,7.91,10.9,3.6,1.99
21/05/1983,8.54,11.8,3.7,1.43
22/05/1983,9.3,11.8,3.6,1.39
23/05/1983,28.44,8.9,3.6,1.51
24/05/1983,8.17,10.9,3.9,1.35
25/05/1983,10.77,11.8,3.8,1.09
26/05/1983,6.82,12.8,4.1,0.91
27/05/1983,11.25,11.1,4.0,0.76
28/05/1983,15.06,9.4,3.9,0.76
29/05/1983,5.0,9.2,4.0,0.63
30/05/1983,10.46,11.2,3.6,0.54
31/05/1983,11.82,11.6,3.8,0.56
