date,P,T,E,Q,Qmm,Month
31/01/1951,2.68,3.0,0.37,822.32,2.61,1
28/02/1951,2.59,2.94,0.62,519.54,1.65,2
31/03/1951,3.13,3.54,1.0,601.0,1.9,3
30/04/1951,2.83,7.19,1.86,546.73,1.73,4
31/05/1951,1.9,11.66,2.37,235.16,0.75,5
30/06/1951,3.72,14.84,2.56,269.87,0.85,6
31/07/1951,1.6,17.06,3.06,171.35,0.54,7
31/08/1951,3.12,16.44,2.44,115.68,0.37,8
30/09/1951,2.23,14.76,1.88,108.18,0.34,9
31/10/1951,0.96,8.23,1.17,74.1,0.24,10
30/11/1951,3.99,7.03,0.5,328.1,1.04,11
31/12/1951,2.07,2.36,0.36,317.58,1.01,12
31/01/1952,3.78,1.31,0.34,815.39,2.58,1
29/02/1952,1.9,0.98,0.62,552.24,1.75,2
31/03/1952,3.28,5.37,1.08,591.13,1.87,3
30/04/1952,0.91,11.16,2.2,593.33,1.88,4
31/05/1952,1.55,13.23,2.62,145.51,0.46,5
30/06/1952,1.79,15.96,3.14,93.78,0.3,6
31/07/1952,1.14,19.14,3.36,69.21,0.22,7
31/08/1952,2.91,17.78,2.49,46.61,0.15,8
30/09/1952,3.84,10.52,1.36,70.84,0.23,9
31/10/1952,3.66,7.75,0.9,314.42,1.0,10
30/11/1952,5.58,2.9,0.41,826.33,2.62,11
31/12/1952,4.0,1.5,0.32,1266.35,4.01,12
31/01/1953,0.74,0.6,0.35,302.77,0.96,1
28/02/1953,1.88,1.91,0.64,523.68,1.66,2
31/03/1953,0.19,6.43,1.6,269.1,0.85,3
30/04/1953,1.7,9.55,2.12,173.37,0.55,4
31/05/1953,1.29,13.86,2.75,87.84,0.28,5
30/06/1953,3.8,15.29,2.48,175.61,0.56,6
31/07/1953,3.82,16.73,2.63,275.58,0.87,7
31/08/1953,1.08,16.79,2.8,100.26,0.32,8
30/09/1953,1.76,14.19,2.01,64.63,0.2,9
31/10/1953,1.03,10.72,1.0,64.4,0.21,10
30/11/1953,0.52,4.89,0.54,67.33,0.21,11
31/12/1953,1.01,3.88,0.38,56.73,0.18,12
31/01/1954,2.11,1.27,0.4,217.51,0.69,1
28/02/1954,1.6,1.53,0.56,126.32,0.4,2
31/03/1954,1.31,6.0,1.2,241.84,0.77,3
30/04/1954,1.28,6.87,1.83,232.53,0.74,4
31/05/1954,1.53,12.02,2.55,77.67,0.25,5
30/06/1954,1.89,15.38,2.85,71.47,0.23,6
31/07/1954,2.65,14.56,2.33,68.39,0.22,7
31/08/1954,4.41,15.45,2.18,184.11,0.58,8
30/09/1954,4.35,13.36,1.58,219.67,0.7,9
31/10/1954,2.65,10.27,1.01,338.42,1.07,10
30/11/1954,2.08,5.36,0.57,286.33,0.91,11
31/12/1954,3.35,3.75,0.35,763.52,2.42,12
31/01/1955,3.25,1.23,0.37,969.26,3.07,1
28/02/1955,3.01,1.42,0.52,630.04,2.0,2
31/03/1955,1.25,2.61,1.21,413.1,1.31,3
30/04/1955,0.5,8.39,2.14,218.23,0.69,4
31/05/1955,2.83,10.69,2.47,143.03,0.45,5
30/06/1955,2.96,15.01,2.81,197.37,0.63,6
31/07/1955,2.79,17.6,2.75,147.39,0.47,7
31/08/1955,1.19,16.91,2.56,82.36,0.26,8
30/09/1955,1.71,13.67,1.87,70.35,0.22,9
31/10/1955,1.6,7.66,1.04,69.63,0.22,10
30/11/1955,0.92,4.51,0.57,68.11,0.22,11
31/12/1955,4.26,3.44,0.34,262.38,0.83,12
31/01/1956,3.01,1.81,0.41,593.77,1.88,1
29/02/1956,0.6,0.0,0.46,251.17,0.8,2
31/03/1956,1.55,5.06,1.19,447.1,1.42,3
30/04/1956,2.57,6.44,1.62,360.93,1.14,4
31/05/1956,2.48,13.0,2.72,184.9,0.59,5
30/06/1956,2.88,12.68,2.01,222.93,0.71,6
31/07/1956,3.09,16.45,2.62,187.03,0.59,7
31/08/1956,3.51,14.04,2.22,144.79,0.46,8
30/09/1956,2.27,14.7,1.82,189.22,0.6,9
31/10/1956,2.69,8.29,0.87,252.77,0.8,10
30/11/1956,1.66,3.41,0.47,233.6,0.74,11
31/12/1956,1.65,3.82,0.37,398.61,1.26,12
31/01/1957,1.6,1.72,0.43,281.9,0.89,1
28/02/1957,4.87,5.03,0.71,886.04,2.81,2
31/03/1957,2.28,8.02,1.43,529.71,1.68,3
30/04/1957,0.69,8.58,2.09,220.93,0.7,4
31/05/1957,1.29,9.85,2.66,113.59,0.36,5
30/06/1957,2.54,16.72,3.33,119.33,0.38,6
31/07/1957,3.12,17.67,2.84,95.96,0.3,7
31/08/1957,2.79,15.06,2.37,114.07,0.36,8
30/09/1957,4.0,12.71,1.48,167.59,0.53,9
31/10/1957,1.23,9.4,1.11,156.87,0.5,10
30/11/1957,1.09,4.89,0.49,149.4,0.47,11
31/12/1957,1.78,1.55,0.35,225.32,0.71,12
31/01/1958,3.41,1.57,0.41,539.61,1.71,1
28/02/1958,5.63,4.09,0.67,1190.07,3.77,2
31/03/1958,0.98,2.35,1.11,530.55,1.68,3
30/04/1958,1.7,5.8,1.75,225.53,0.71,4
31/05/1958,5.18,13.07,2.44,560.23,1.78,5
30/06/1958,2.54,14.52,2.68,228.3,0.72,6
31/07/1958,2.34,16.94,3.06,185.97,0.59,7
31/08/1958,4.45,17.0,2.4,215.97,0.68,8
30/09/1958,1.69,15.26,1.98,142.8,0.45,9
31/10/1958,2.28,9.29,0.99,189.29,0.6,10
30/11/1958,1.66,4.39,0.43,271.43,0.86,11
31/12/1958,3.91,3.65,0.37,551.35,1.75,12
31/01/1959,2.99,1.68,0.44,831.23,2.63,1
28/02/1959,0.12,2.34,0.87,255.04,0.81,2
31/03/1959,2.01,7.2,1.31,255.71,0.81,3
30/04/1959,2.87,9.54,1.9,258.67,0.82,4
31/05/1959,1.69,13.12,2.78,246.32,0.78,5
30/06/1959,2.31,16.22,3.22,107.73,0.34,6
31/07/1959,1.36,20.09,3.65,78.58,0.25,7
31/08/1959,1.82,17.32,2.82,72.71,0.23,8
30/09/1959,0.14,15.55,2.6,41.17,0.13,9
31/10/1959,1.41,9.81,1.34,44.01,0.14,10
