date,P,T,E,Qmm
01/01/1951,9.0,0.82,0.29,0.79
02/01/1951,4.96,0.88,0.29,0.8
03/01/1951,0.39,0.37,0.29,0.87
04/01/1951,4.75,0.36,0.39,1.9
05/01/1951,0.43,4.23,0.35,2.41
06/01/1951,1.67,5.02,0.5,2.26
07/01/1951,1.56,4.77,0.36,2.67
08/01/1951,2.08,3.78,0.34,3.2
09/01/1951,0.73,3.0,0.55,3.36
10/01/1951,0.39,2.1,0.56,3.3
11/01/1951,6.13,6.64,0.39,3.01
12/01/1951,1.24,3.63,0.33,2.54
13/01/1951,1.72,2.78,0.32,2.88
14/01/1951,5.29,3.74,0.34,2.85
15/01/1951,8.89,3.18,0.33,2.55
16/01/1951,1.81,1.82,0.41,2.71
17/01/1951,8.82,2.98,0.33,3.05
18/01/1951,7.79,4.7,0.34,3.05
19/01/1951,5.84,3.54,0.33,3.49
20/01/1951,4.7,6.57,0.38,3.71
21/01/1951,2.9,5.5,0.38,3.8
22/01/1951,1.34,4.68,0.38,3.93
23/01/1951,0.12,4.05,0.44,3.83
24/01/1951,0.01,3.02,0.51,3.49
25/01/1951,0.18,1.29,0.33,2.98
26/01/1951,0.07,2.18,0.35,2.52
27/01/1951,0.03,2.06,0.38,2.13
28/01/1951,0.03,2.09,0.38,1.94
29/01/1951,0.05,1.23,0.34,1.75
30/01/1951,0.02,0.84,0.34,1.58
31/01/1951,0.05,1.04,0.34,1.44
01/02/1951,0.01,1.8,0.38,1.34
02/02/1951,0.27,1.83,0.38,1.24
03/02/1951,1.92,1.61,0.38,1.13
04/02/1951,8.89,4.29,0.53,1.11
05/02/1951,0.59,4.08,0.5,1.07
06/02/1951,0.49,3.18,0.51,1.19
07/02/1951,1.59,2.23,0.77,1.29
08/02/1951,0.75,5.4,0.46,1.32
09/02/1951,6.9,6.14,0.5,1.23
10/02/1951,1.14,3.26,0.46,1.14
11/02/1951,3.34,3.92,0.42,1.17
12/02/1951,0.16,4.83,0.71,1.31
13/02/1951,0.62,4.17,0.51,1.53
14/02/1951,1.2,3.98,0.52,1.78
15/02/1951,0.32,2.05,0.56,1.53
16/02/1951,0.58,2.2,0.95,1.27
17/02/1951,12.86,4.55,0.52,1.21
18/02/1951,1.5,3.46,1.24,1.17
19/02/1951,5.04,2.62,0.66,1.58
20/02/1951,11.4,5.22,0.71,1.9
