date,P,T,E,Q,Qmm
01/01/1998,0.0,0.6,0.4,2.02,0.46
02/01/1998,0.8,2.2,0.4,1.93,0.44
03/01/1998,5.4,3.9,0.3,1.96,0.44
04/01/1998,0.6,3.2,0.4,2.22,0.5
05/01/1998,4.9,2.0,0.3,2.11,0.48
06/01/1998,2.9,1.1,0.4,2.63,0.59
07/01/1998,0.9,4.3,0.5,2.55,0.57
08/01/1998,0.0,4.3,0.4,2.64,0.6
09/01/1998,0.0,6.2,0.3,2.44,0.55
10/01/1998,0.0,4.1,0.5,2.22,0.5
11/01/1998,0.0,3.7,0.5,2.09,0.47
12/01/1998,0.0,2.6,0.5,2.08,0.47
13/01/1998,0.0,0.0,0.4,2.03,0.46
14/01/1998,0.0,1.2,0.6,1.96,0.44
15/01/1998,0.0,0.9,0.4,1.9,0.43
16/01/1998,5.2,2.3,0.3,1.88,0.42
17/01/1998,1.6,0.5,0.3,1.99,0.45
18/01/1998,1.0,1.0,0.4,1.88,0.42
19/01/1998,13.5,1.9,0.4,2.06,0.46
20/01/1998,3.0,-1.5,0.3,2.19,0.49
21/01/1998,2.1,-2.5,0.2,1.91,0.43
22/01/1998,2.1,-2.7,0.3,1.8,0.41
23/01/1998,0.0,-1.9,0.2,1.88,0.42
24/01/1998,0.0,-3.8,0.2,1.86,0.42
25/01/1998,0.0,-5.3,0.3,1.69,0.38
26/01/1998,0.0,-7.0,0.3,1.67,0.38
27/01/1998,0.0,-8.0,0.2,1.48,0.33
28/01/1998,2.7,-7.9,0.5,1.25,0.28
29/01/1998,0.0,-5.6,0.3,1.21,0.27
30/01/1998,0.1,-6.6,0.4,1.19,0.27
31/01/1998,0.3,-8.1,0.3,1.16,0.26
01/02/1998,0.0,-11.7,0.1,1.19,0.27
02/02/1998,0.0,-11.1,0.3,1.2,0.27
03/02/1998,0.0,-7.8,0.4,1.18,0.27
04/02/1998,0.0,-5.2,0.5,1.1,0.25
05/02/1998,0.0,-5.1,0.6,1.15,0.26
06/02/1998,0.0,-3.0,0.3,1.12,0.25
07/02/1998,0.4,-2.0,0.6,1.05,0.24
08/02/1998,0.0,-2.1,0.5,1.08,0.24
09/02/1998,0.0,0.1,0.7,1.26,0.28
10/02/1998,0.0,2.6,0.8,1.48,0.33
11/02/1998,0.0,3.3,1.0,1.88,0.42
12/02/1998,0.0,5.0,0.8,2.29,0.52
13/02/1998,0.0,6.6,0.5,3.36,0.76
14/02/1998,0.0,6.3,0.8,3.19,0.72
15/02/1998,0.0,7.2,1.0,2.7,0.61
16/02/1998,3.2,7.6,0.8,2.25,0.51
17/02/1998,2.3,2.4,0.8,2.05,0.46
18/02/1998,0.0,2.7,0.8,1.87,0.42
