date,P,T,E,Qmm
01/01/1948,1.39,-6.9,0.0,0.23
02/01/1948,2.46,-7.52,0.0,0.22
03/01/1948,0.71,-1.31,0.0,0.23
04/01/1948,0.0,-3.37,0.0,0.19
05/01/1948,0.0,-4.29,0.0,0.2
06/01/1948,0.55,-4.5,0.0,0.22
07/01/1948,0.47,-6.48,0.0,0.22
08/01/1948,13.95,-9.18,0.0,0.22
09/01/1948,0.47,-11.69,0.0,0.21
10/01/1948,0.0,-10.8,0.0,0.2
11/01/1948,0.0,-13.78,0.0,0.17
12/01/1948,4.02,-8.41,0.0,0.17
13/01/1948,2.31,-1.38,0.01,0.21
14/01/1948,0.47,-7.95,0.02,0.19
15/01/1948,1.18,-12.37,0.02,0.21
16/01/1948,5.16,-10.43,0.03,0.19
17/01/1948,13.43,-10.61,0.04,0.18
18/01/1948,5.68,-10.46,0.05,0.14
19/01/1948,0.47,-13.69,0.06,0.16
20/01/1948,4.73,-10.04,0.07,0.18
21/01/1948,2.13,-10.5,0.08,0.17
22/01/1948,0.0,-7.89,0.09,0.17
23/01/1948,0.0,-11.56,0.1,0.19
24/01/1948,10.88,-11.07,0.11,0.18
25/01/1948,1.89,-12.54,0.12,0.14
26/01/1948,0.0,-10.51,0.14,0.16
27/01/1948,0.0,-8.3,0.15,0.18
28/01/1948,0.0,-14.23,0.16,0.17
29/01/1948,0.0,-9.01,0.18,0.17
30/01/1948,0.0,-11.53,0.19,0.17
31/01/1948,0.0,-11.46,0.21,0.13
01/02/1948,0.0,-7.39,0.22,0.13
02/02/1948,0.0,-7.4,0.24,0.15
03/02/1948,0.0,-10.41,0.26,0.18
04/02/1948,0.18,-10.57,0.27,0.17
05/02/1948,0.0,-10.65,0.29,0.16
06/02/1948,0.0,-8.59,0.31,0.16
07/02/1948,0.45,-8.42,0.33,0.15
08/02/1948,0.18,-8.79,0.35,0.12
09/02/1948,0.0,-12.61,0.37,0.12
10/02/1948,0.0,-8.24,0.39,0.16
11/02/1948,0.09,-5.28,0.41,0.16
12/02/1948,0.82,-7.42,0.43,0.16
13/02/1948,6.28,-8.68,0.45,0.16
14/02/1948,0.73,0.99,0.47,0.16
15/02/1948,0.09,-10.73,0.5,0.13
16/02/1948,0.0,-9.29,0.52,0.12
17/02/1948,0.21,1.14,0.54,0.18
18/02/1948,0.24,-4.0,0.57,0.2
19/02/1948,0.05,-9.1,0.59,0.2
20/02/1948,0.09,-2.76,0.62,0.2
21/02/1948,0.0,-8.42,0.64,0.2
22/02/1948,0.0,-10.9,0.67,0.16
23/02/1948,0.0,-9.59,0.69,0.18
24/02/1948,0.0,-7.24,0.72,0.18
25/02/1948,0.0,-1.29,0.74,0.18
26/02/1948,0.0,-1.71,0.77,0.17
27/02/1948,2.0,-4.43,0.8,0.17
28/02/1948,4.6,-7.89,0.83,0.17
29/02/1948,0.18,-8.77,0.85,0.14
01/03/1948,0.52,-6.93,0.88,0.15
02/03/1948,4.72,-8.29,0.91,0.16
03/03/1948,3.27,-4.49,0.94,0.17
04/03/1948,0.09,-6.51,0.97,0.16
05/03/1948,0.0,-11.67,1.0,0.15
06/03/1948,1.48,-6.14,1.03,0.15
07/03/1948,4.09,-4.47,1.06,0.13
08/03/1948,0.78,-6.29,1.09,0.14
09/03/1948,0.0,-7.63,1.12,0.18
10/03/1948,1.74,-3.06,1.15,0.16
11/03/1948,0.73,-5.1,1.18,0.16
12/03/1948,0.0,-8.15,1.21,0.16
13/03/1948,0.0,-9.91,1.24,0.16
14/03/1948,0.0,-5.66,1.27,0.13
15/03/1948,0.0,-3.63,1.31,0.15
16/03/1948,0.43,5.04,1.34,0.2
17/03/1948,0.0,4.63,1.37,0.26
18/03/1948,2.26,-1.34,1.4,0.38
19/03/1948,22.34,-1.62,1.44,0.62
20/03/1948,0.52,5.42,1.47,1.28
21/03/1948,0.0,5.4,1.5,2.99
22/03/1948,0.0,5.12,1.53,5.03
23/03/1948,0.0,-0.1,1.57,5.64
24/03/1948,0.0,5.38,1.6,4.18
25/03/1948,0.0,-1.38,1.63,4.18
26/03/1948,0.35,1.49,1.67,4.05
27/03/1948,8.04,7.13,1.7,4.07
28/03/1948,0.78,0.66,1.73,6.28
29/03/1948,0.0,-2.53,1.77,5.8
30/03/1948,0.0,3.62,1.8,4.33
31/03/1948,3.47,4.28,1.83,3.7
01/04/1948,1.9,6.8,1.87,4.86
02/04/1948,0.39,6.76,1.9,13.68
03/04/1948,0.0,0.44,1.93,10.04
04/04/1948,0.0,0.36,1.97,5.64
05/04/1948,0.77,7.48,2.0,4.33
06/04/1948,0.29,6.95,2.04,4.07
07/04/1948,0.0,4.56,2.07,4.58
08/04/1948,0.0,2.02,2.1,4.2
09/04/1948,0.0,3.68,2.14,3.59
10/04/1948,1.06,-1.93,2.17,3.14
11/04/1948,7.25,-3.0,2.2,2.57
12/04/1948,0.1,5.15,2.24,2.59
13/04/1948,2.12,5.3,2.27,3.81
14/04/1948,8.5,2.35,2.3,3.36
15/04/1948,0.68,3.65,2.34,3.03
16/04/1948,0.58,3.13,2.37,3.81
17/04/1948,0.19,1.04,2.4,3.59
18/04/1948,0.0,2.44,2.43,3.03
19/04/1948,0.19,6.68,2.47,2.42
20/04/1948,6.98,5.96,2.5,2.4
21/04/1948,4.15,6.2,2.53,3.48
22/04/1948,0.0,6.16,2.56,4.07
23/04/1948,0.0,6.25,2.6,3.14
24/04/1948,0.0,9.95,2.63,2.81
25/04/1948,0.0,8.98,2.66,2.68
26/04/1948,0.0,4.0,2.69,2.42
27/04/1948,0.0,4.22,2.72,2.09
28/04/1948,0.0,3.99,2.75,1.83
29/04/1948,5.26,5.03,2.78,1.72
30/04/1948,19.35,4.56,2.81,1.59
01/05/1948,4.72,5.25,2.84,4.38
02/05/1948,0.0,6.13,2.87,4.58
03/05/1948,0.0,6.64,2.9,3.14
04/05/1948,0.0,8.64,2.93,2.62
05/05/1948,0.0,8.54,2.96,2.31
06/05/1948,0.36,9.17,2.99,2.09
07/05/1948,18.45,7.86,3.02,1.9
08/05/1948,14.39,9.19,3.04,5.42
09/05/1948,0.34,10.42,3.07,6.41
10/05/1948,0.4,11.14,3.1,3.81
11/05/1948,0.3,9.68,3.13,3.03
12/05/1948,6.71,12.04,3.15,2.74
13/05/1948,0.26,11.58,3.18,3.14
14/05/1948,28.52,7.56,3.21,2.57
15/05/1948,10.82,8.27,3.23,8.58
16/05/1948,3.76,7.39,3.26,9.15
17/05/1948,31.17,6.62,3.28,7.19
18/05/1948,16.24,9.44,3.31,16.4
