Date,Tmin,Tmean,Tmax,P,PE
1983-01-01,-11.3,-8.9,-6.6,12.7,0.5
1983-01-02,-18.0,-13.1,-8.9,1.8,0.5
1983-01-03,-21.6,-16.8,-11.5,0.1,0.4
1983-01-04,-26.9,-18.9,-12.0,0.1,0.4
1983-01-05,-22.9,-17.0,-11.0,0.0,0.5
1983-01-06,-24.3,-17.5,-10.7,0.0,0.5
1983-01-07,-19.7,-15.3,-8.7,0.0,0.5
1983-01-08,-21.0,-15.5,-8.4,0.0,0.5
1983-01-09,-19.5,-13.8,-5.8,0.0,0.5
1983-01-10,-18.1,-13.3,-7.0,0.0,0.5
1983-01-11,-18.8,-12.1,-6.2,0.5,0.5
1983-01-12,-14.8,-11.1,-6.5,0.5,0.6
1983-01-13,-19.1,-13.7,-6.7,0.2,0.6
1983-01-14,-19.8,-12.8,-4.3,0.0,0.6
1983-01-15,-19.1,-12.9,-4.8,0.0,0.6
1983-01-16,-20.0,-11.3,-5.1,1.6,0.7
1983-01-17,-7.1,-5.1,-2.5,5.4,0.7
1983-01-18,-6.9,-4.6,-1.8,3.5,0.7
1983-01-19,-12.2,-5.8,-0.6,0.1,0.8
1983-01-20,-13.8,-9.8,-3.8,0.0,0.7
1983-01-21,-11.3,-5.9,-2.5,1.5,0.7
1983-01-22,-5.6,-3.8,-1.1,1.1,0.7
1983-01-23,-9.4,-6.0,-2.8,1.0,0.7
1983-01-24,-13.4,-9.7,-5.6,2.5,0.7
1983-01-25,-20.1,-15.1,-11.3,0.8,0.5
1983-01-26,-23.1,-17.4,-11.2,0.1,0.5
1983-01-27,-20.8,-15.0,-8.2,0.0,0.6
1983-01-28,-22.4,-15.3,-7.7,0.0,0.7
1983-01-29,-16.6,-12.0,-7.0,0.8,0.7
1983-01-30,-12.4,-8.9,-4.3,0.2,0.8
1983-01-31,-13.5,-7.8,-1.7,0.2,0.8
1983-02-01,-8.8,-5.3,0.1,0.3,0.9
1983-02-02,-11.0,-6.2,0.1,0.1,1.0
1983-02-03,-13.9,-7.9,-0.9,0.0,0.9
1983-02-04,-15.1,-7.9,-2.0,0.6,0.9
1983-02-05,-9.3,-6.1,-2.7,6.5,0.8
1983-02-06,-9.5,-6.3,-2.3,1.4,0.8
1983-02-07,-9.2,-5.4,-0.4,0.1,1.0
1983-02-08,-12.4,-6.2,-0.3,0.0,1.0
1983-02-09,-13.0,-6.8,-0.2,0.0,1.0
1983-02-10,-14.0,-7.1,-0.7,0.0,1.1
1983-02-11,-13.2,-6.0,0.1,0.0,1.1
1983-02-12,-10.7,-2.8,4.2,0.0,1.2
1983-02-13,-6.3,-2.5,1.0,0.3,1.1
1983-02-14,-10.1,-4.8,-1.6,3.4,1.1
1983-02-15,-13.5,-8.2,-2.4,0.0,1.1
1983-02-16,-15.4,-8.8,-3.1,0.0,1.0
1983-02-17,-14.7,-8.9,-2.3,0.0,0.9
1983-02-18,-11.4,-5.6,-1.8,8.7,0.9
1983-02-19,-8.5,-6.1,-2.7,13.0,0.7
1983-02-20,-10.8,-9.1,-6.9,4.3,0.7
1983-02-21,-17.5,-11.9,-8.8,3.6,0.8
1983-02-22,-18.9,-14.7,-8.2,0.0,0.8
1983-02-23,-20.1,-12.2,-5.2,0.2,0.9
1983-02-24,-12.7,-7.7,-3.1,4.2,0.9
1983-02-25,-8.3,-5.4,-2.0,9.1,0.9
1983-02-26,-12.5,-7.7,-4.8,4.9,0.9
1983-02-27,-13.4,-9.7,-4.7,0.2,1.0
